25	25
0.00	0.00	14.400
0.00	1.00	9.680
0.00	2.00	12.800
0.00	3.00	17.000
0.00	4.00	23.500
0.00	5.00	12.300
0.00	6.00	17.800
0.00	7.00	14.900
0.00	8.00	11.100
0.00	9.00	11.000
0.00	10.00	7.240
0.00	11.00	5.730
0.00	12.00	6.040
0.00	13.00	3.620
0.00	14.00	2.970
0.00	15.00	2.860
0.00	16.00	2.970
0.00	17.00	4.730
0.00	18.00	5.670
0.00	19.00	4.580
0.00	20.00	4.540
0.00	21.00	7.340
0.00	22.00	8.170
0.00	23.00	8.210
0.00	24.00	1.450
1.00	0.00	8.700
1.00	1.00	5.670
1.00	2.00	12.400
1.00	3.00	13.700
1.00	4.00	19.700
1.00	5.00	17.000
1.00	6.00	20.800
1.00	7.00	10.300
1.00	8.00	11.900
1.00	9.00	7.470
1.00	10.00	6.210
1.00	11.00	5.510
1.00	12.00	4.410
1.00	13.00	5.070
1.00	14.00	4.610
1.00	15.00	4.120
1.00	16.00	3.620
1.00	17.00	5.310
1.00	18.00	6.440
1.00	19.00	1.520
1.00	20.00	1.470
1.00	21.00	6.880
1.00	22.00	8.950
1.00	23.00	3.110
1.00	24.00	1.940
2.00	0.00	9.690
2.00	1.00	6.030
2.00	2.00	11.100
2.00	3.00	9.190
2.00	4.00	12.800
2.00	5.00	26.900
2.00	6.00	19.600
2.00	7.00	10.200
2.00	8.00	9.730
2.00	9.00	6.830
2.00	10.00	6.740
2.00	11.00	6.080
2.00	12.00	5.480
2.00	13.00	6.190
2.00	14.00	5.970
2.00	15.00	6.020
2.00	16.00	5.210
2.00	17.00	2.470
2.00	18.00	2.630
2.00	19.00	1.590
2.00	20.00	1.860
2.00	21.00	1.900
2.00	22.00	3.120
2.00	23.00	3.230
2.00	24.00	1.960
3.00	0.00	7.350
3.00	1.00	10.000
3.00	2.00	10.200
3.00	3.00	15.200
3.00	4.00	9.980
3.00	5.00	23.800
3.00	6.00	23.900
3.00	7.00	11.900
3.00	8.00	16.800
3.00	9.00	11.300
3.00	10.00	6.600
3.00	11.00	8.640
3.00	12.00	14.900
3.00	13.00	9.510
3.00	14.00	7.880
3.00	15.00	4.890
3.00	16.00	1.990
3.00	17.00	2.700
3.00	18.00	2.110
3.00	19.00	2.120
3.00	20.00	2.310
3.00	21.00	2.680
3.00	22.00	3.160
3.00	23.00	3.760
3.00	24.00	4.570
4.00	0.00	6.090
4.00	1.00	11.800
4.00	2.00	7.740
4.00	3.00	18.400
4.00	4.00	21.500
4.00	5.00	19.700
4.00	6.00	32.900
4.00	7.00	20.500
4.00	8.00	21.600
4.00	9.00	13.600
4.00	10.00	13.900
4.00	11.00	19.000
4.00	12.00	15.600
4.00	13.00	9.540
4.00	14.00	9.810
4.00	15.00	2.380
4.00	16.00	2.150
4.00	17.00	2.480
4.00	18.00	8.710
4.00	19.00	2.660
4.00	20.00	3.190
4.00	21.00	4.210
4.00	22.00	3.510
4.00	23.00	4.560
4.00	24.00	6.100
5.00	0.00	6.500
5.00	1.00	9.840
5.00	2.00	7.070
5.00	3.00	8.190
5.00	4.00	19.900
5.00	5.00	22.200
5.00	6.00	35.300
5.00	7.00	19.800
5.00	8.00	21.600
5.00	9.00	26.100
5.00	10.00	21.100
5.00	11.00	20.300
5.00	12.00	13.300
5.00	13.00	15.100
5.00	14.00	11.900
5.00	15.00	13.700
5.00	16.00	9.380
5.00	17.00	12.000
5.00	18.00	9.440
5.00	19.00	2.660
5.00	20.00	3.600
5.00	21.00	4.990
5.00	22.00	5.850
5.00	23.00	6.530
5.00	24.00	7.700
6.00	0.00	5.360
6.00	1.00	7.170
6.00	2.00	8.160
6.00	3.00	8.970
6.00	4.00	13.300
6.00	5.00	14.000
6.00	6.00	19.800
6.00	7.00	24.400
6.00	8.00	20.500
6.00	9.00	23.100
6.00	10.00	22.000
6.00	11.00	12.900
6.00	12.00	12.300
6.00	13.00	7.590
6.00	14.00	8.260
6.00	15.00	8.110
6.00	16.00	10.700
6.00	17.00	8.950
6.00	18.00	8.190
6.00	19.00	10.900
6.00	20.00	9.800
6.00	21.00	3.260
6.00	22.00	7.190
6.00	23.00	6.200
6.00	24.00	6.940
7.00	0.00	8.670
7.00	1.00	11.100
7.00	2.00	13.100
7.00	3.00	9.480
7.00	4.00	7.470
7.00	5.00	11.700
7.00	6.00	14.600
7.00	7.00	12.900
7.00	8.00	15.900
7.00	9.00	15.600
7.00	10.00	12.700
7.00	11.00	13.000
7.00	12.00	7.430
7.00	13.00	11.200
7.00	14.00	12.600
7.00	15.00	15.600
7.00	16.00	15.100
7.00	17.00	10.400
7.00	18.00	9.820
7.00	19.00	11.800
7.00	20.00	10.700
7.00	21.00	3.940
7.00	22.00	5.220
7.00	23.00	18.200
7.00	24.00	6.300
8.00	0.00	11.100
8.00	1.00	10.900
8.00	2.00	10.800
8.00	3.00	10.100
8.00	4.00	6.630
8.00	5.00	8.800
8.00	6.00	12.600
8.00	7.00	8.600
8.00	8.00	10.500
8.00	9.00	13.200
8.00	10.00	10.800
8.00	11.00	12.100
8.00	12.00	13.000
8.00	13.00	6.900
8.00	14.00	15.300
8.00	15.00	18.400
8.00	16.00	15.200
8.00	17.00	12.900
8.00	18.00	21.100
8.00	19.00	15.500
8.00	20.00	19.300
8.00	21.00	4.320
8.00	22.00	21.700
8.00	23.00	22.700
8.00	24.00	20.300
9.00	0.00	4.600
9.00	1.00	5.440
9.00	2.00	4.710
9.00	3.00	8.910
9.00	4.00	12.900
9.00	5.00	12.300
9.00	6.00	10.100
9.00	7.00	10.000
9.00	8.00	9.170
9.00	9.00	7.420
9.00	10.00	7.150
9.00	11.00	12.200
9.00	12.00	17.600
9.00	13.00	31.800
9.00	14.00	17.800
9.00	15.00	15.000
9.00	16.00	14.400
9.00	17.00	15.600
9.00	18.00	3.660
9.00	19.00	5.440
9.00	20.00	3.480
9.00	21.00	25.800
9.00	22.00	22.300
9.00	23.00	20.000
9.00	24.00	20.900
