25	25
0.00	0.00	0.196
0.00	1.00	0.194
0.00	2.00	0.268
0.00	3.00	0.274
0.00	4.00	0.274
0.00	5.00	0.266
0.00	6.00	0.259
0.00	7.00	0.258
0.00	8.00	0.251
0.00	9.00	0.237
0.00	10.00	0.243
0.00	11.00	0.248
0.00	12.00	0.241
0.00	13.00	0.033
0.00	14.00	0.240
0.00	15.00	0.245
0.00	16.00	0.251
0.00	17.00	0.256
0.00	18.00	0.256
0.00	19.00	0.039
0.00	20.00	0.066
0.00	21.00	0.235
0.00	22.00	0.227
0.00	23.00	0.234
0.00	24.00	0.246
1.00	0.00	0.213
1.00	1.00	0.165
1.00	2.00	0.275
1.00	3.00	0.267
1.00	4.00	0.273
1.00	5.00	0.259
1.00	6.00	0.258
1.00	7.00	0.257
1.00	8.00	0.250
1.00	9.00	0.243
1.00	10.00	0.242
1.00	11.00	0.248
1.00	12.00	0.241
1.00	13.00	0.246
1.00	14.00	0.245
1.00	15.00	0.251
1.00	16.00	0.250
1.00	17.00	0.249
1.00	18.00	0.045
1.00	19.00	0.045
1.00	20.00	0.059
1.00	21.00	0.051
1.00	22.00	0.227
1.00	23.00	0.071
1.00	24.00	0.071
2.00	0.00	0.144
2.00	1.00	0.203
2.00	2.00	0.267
2.00	3.00	0.267
2.00	4.00	0.272
2.00	5.00	0.258
2.00	6.00	0.257
2.00	7.00	0.257
2.00	8.00	0.243
2.00	9.00	0.242
2.00	10.00	0.248
2.00	11.00	0.247
2.00	12.00	0.253
2.00	13.00	0.252
2.00	14.00	0.251
2.00	15.00	0.250
2.00	16.00	0.045
2.00	17.00	0.045
2.00	18.00	0.059
2.00	19.00	0.058
2.00	20.00	0.051
2.00	21.00	0.051
2.00	22.00	0.058
2.00	23.00	0.064
2.00	24.00	0.064
3.00	0.00	0.211
3.00	1.00	0.274
3.00	2.00	0.273
3.00	3.00	0.266
3.00	4.00	0.265
3.00	5.00	0.258
3.00	6.00	0.257
3.00	7.00	0.256
3.00	8.00	0.249
3.00	9.00	0.242
3.00	10.00	0.247
3.00	11.00	0.253
3.00	12.00	0.259
3.00	13.00	0.258
3.00	14.00	0.270
3.00	15.00	0.256
3.00	16.00	0.052
3.00	17.00	0.058
3.00	18.00	0.058
3.00	19.00	0.058
3.00	20.00	0.064
3.00	21.00	0.064
3.00	22.00	0.050
3.00	23.00	0.064
3.00	24.00	0.063
4.00	0.00	0.268
4.00	1.00	0.274
4.00	2.00	0.285
4.00	3.00	0.285
4.00	4.00	0.278
4.00	5.00	0.257
4.00	6.00	0.263
4.00	7.00	0.256
4.00	8.00	0.255
4.00	9.00	0.248
4.00	10.00	0.247
4.00	11.00	0.272
4.00	12.00	0.271
4.00	13.00	0.264
4.00	14.00	0.263
4.00	15.00	0.262
4.00	16.00	0.255
4.00	17.00	0.254
4.00	18.00	0.254
4.00	19.00	0.071
4.00	20.00	0.070
4.00	21.00	0.064
4.00	22.00	0.057
4.00	23.00	0.056
4.00	24.00	0.049
5.00	0.00	0.274
5.00	1.00	0.273
5.00	2.00	0.285
5.00	3.00	0.284
5.00	4.00	0.277
5.00	5.00	0.257
5.00	6.00	0.262
5.00	7.00	0.255
5.00	8.00	0.248
5.00	9.00	0.247
5.00	10.00	0.240
5.00	11.00	0.272
5.00	12.00	0.271
5.00	13.00	0.270
5.00	14.00	0.263
5.00	15.00	0.262
5.00	16.00	0.261
5.00	17.00	0.248
5.00	18.00	0.247
5.00	19.00	0.077
5.00	20.00	0.076
5.00	21.00	0.070
5.00	22.00	0.056
5.00	23.00	0.049
5.00	24.00	0.049
6.00	0.00	0.267
6.00	1.00	0.285
6.00	2.00	0.290
6.00	3.00	0.289
6.00	4.00	0.283
6.00	5.00	0.282
6.00	6.00	0.262
6.00	7.00	0.254
6.00	8.00	0.260
6.00	9.00	0.259
6.00	10.00	0.265
6.00	11.00	0.265
6.00	12.00	0.264
6.00	13.00	0.276
6.00	14.00	0.269
6.00	15.00	0.255
6.00	16.00	0.254
6.00	17.00	0.247
6.00	18.00	0.077
6.00	19.00	0.076
6.00	20.00	0.082
6.00	21.00	0.069
6.00	22.00	0.049
6.00	23.00	0.048
6.00	24.00	0.048
7.00	0.00	0.273
7.00	1.00	0.279
7.00	2.00	0.284
7.00	3.00	0.283
7.00	4.00	0.282
7.00	5.00	0.275
7.00	6.00	0.274
7.00	7.00	0.260
7.00	8.00	0.253
7.00	9.00	0.259
7.00	10.00	0.265
7.00	11.00	0.271
7.00	12.00	0.283
7.00	13.00	0.276
7.00	14.00	0.268
7.00	15.00	0.254
7.00	16.00	0.254
7.00	17.00	0.253
7.00	18.00	0.246
7.00	19.00	0.082
7.00	20.00	0.076
7.00	21.00	0.069
7.00	22.00	0.055
7.00	23.00	0.048
7.00	24.00	0.048
8.00	0.00	0.272
8.00	1.00	0.278
8.00	2.00	0.283
8.00	3.00	0.283
8.00	4.00	0.282
8.00	5.00	0.268
8.00	6.00	0.267
8.00	7.00	0.266
8.00	8.00	0.266
8.00	9.00	0.265
8.00	10.00	0.264
8.00	11.00	0.257
8.00	12.00	0.276
8.00	13.00	0.275
8.00	14.00	0.274
8.00	15.00	0.274
8.00	16.00	0.241
8.00	17.00	0.240
8.00	18.00	0.239
8.00	19.00	0.081
8.00	20.00	0.075
8.00	21.00	0.192
8.00	22.00	0.055
8.00	23.00	0.054
8.00	24.00	0.047
9.00	0.00	0.285
9.00	1.00	0.284
9.00	2.00	0.283
9.00	3.00	0.282
9.00	4.00	0.275
9.00	5.00	0.268
9.00	6.00	0.267
9.00	7.00	0.266
9.00	8.00	0.265
9.00	9.00	0.264
9.00	10.00	0.264
9.00	11.00	0.263
9.00	12.00	0.269
