25	25
0.00	0.00	7.950
0.00	1.00	7.370
0.00	2.00	9.440
0.00	3.00	9.000
0.00	4.00	6.760
0.00	5.00	7.650
0.00	6.00	6.200
0.00	7.00	6.480
0.00	8.00	6.670
0.00	9.00	9.540
0.00	10.00	9.760
0.00	11.00	6.640
0.00	12.00	4.130
0.00	13.00	2.330
0.00	14.00	3.960
0.00	15.00	5.410
0.00	16.00	5.020
0.00	17.00	4.730
0.00	18.00	4.260
0.00	19.00	1.650
0.00	20.00	3.260
0.00	21.00	5.260
0.00	22.00	5.790
0.00	23.00	5.960
0.00	24.00	7.920
1.00	0.00	8.700
1.00	1.00	8.920
1.00	2.00	6.270
1.00	3.00	5.350
1.00	4.00	6.940
1.00	5.00	5.640
1.00	6.00	13.000
1.00	7.00	7.470
1.00	8.00	7.870
1.00	9.00	9.330
1.00	10.00	8.160
1.00	11.00	6.210
1.00	12.00	4.870
1.00	13.00	3.470
1.00	14.00	3.650
1.00	15.00	4.440
1.00	16.00	4.740
1.00	17.00	4.800
1.00	18.00	3.130
1.00	19.00	2.220
1.00	20.00	2.820
1.00	21.00	3.750
1.00	22.00	6.920
1.00	23.00	4.150
1.00	24.00	7.260
2.00	0.00	7.400
2.00	1.00	9.070
2.00	2.00	7.260
2.00	3.00	6.270
2.00	4.00	6.360
2.00	5.00	7.870
2.00	6.00	6.950
2.00	7.00	6.770
2.00	8.00	8.420
2.00	9.00	7.830
2.00	10.00	5.540
2.00	11.00	5.630
2.00	12.00	4.570
2.00	13.00	4.310
2.00	14.00	2.650
2.00	15.00	5.050
2.00	16.00	2.660
2.00	17.00	4.320
2.00	18.00	6.210
2.00	19.00	4.220
2.00	20.00	2.770
2.00	21.00	3.620
2.00	22.00	4.180
2.00	23.00	4.320
2.00	24.00	6.290
3.00	0.00	7.120
3.00	1.00	7.820
3.00	2.00	5.640
3.00	3.00	7.330
3.00	4.00	5.980
3.00	5.00	6.740
3.00	6.00	6.090
3.00	7.00	8.420
3.00	8.00	7.540
3.00	9.00	9.930
3.00	10.00	6.640
3.00	11.00	4.830
3.00	12.00	7.270
3.00	13.00	6.920
3.00	14.00	5.100
3.00	15.00	6.950
3.00	16.00	4.830
3.00	17.00	7.880
3.00	18.00	13.700
3.00	19.00	6.570
3.00	20.00	4.040
3.00	21.00	4.580
3.00	22.00	4.920
3.00	23.00	6.080
3.00	24.00	5.410
4.00	0.00	7.200
4.00	1.00	8.020
4.00	2.00	5.250
4.00	3.00	5.300
4.00	4.00	6.790
4.00	5.00	6.830
4.00	6.00	7.230
4.00	7.00	7.030
4.00	8.00	8.290
4.00	9.00	7.840
4.00	10.00	6.230
4.00	11.00	7.760
4.00	12.00	11.800
4.00	13.00	10.400
4.00	14.00	7.910
4.00	15.00	8.000
4.00	16.00	18.000
4.00	17.00	23.700
4.00	18.00	22.300
4.00	19.00	8.950
4.00	20.00	8.610
4.00	21.00	6.890
4.00	22.00	6.740
4.00	23.00	8.510
4.00	24.00	4.880
5.00	0.00	9.190
5.00	1.00	6.170
5.00	2.00	5.760
5.00	3.00	5.080
5.00	4.00	4.690
5.00	5.00	5.050
5.00	6.00	7.360
5.00	7.00	7.450
5.00	8.00	7.850
5.00	9.00	12.000
5.00	10.00	7.680
5.00	11.00	13.100
5.00	12.00	12.400
5.00	13.00	11.600
5.00	14.00	9.660
5.00	15.00	11.800
5.00	16.00	19.700
5.00	17.00	38.600
5.00	18.00	19.300
5.00	19.00	11.500
5.00	20.00	8.740
5.00	21.00	7.560
5.00	22.00	7.890
5.00	23.00	9.140
5.00	24.00	5.290
6.00	0.00	7.170
6.00	1.00	6.020
6.00	2.00	5.660
6.00	3.00	3.860
6.00	4.00	3.620
6.00	5.00	6.320
6.00	6.00	8.340
6.00	7.00	8.430
6.00	8.00	6.860
6.00	9.00	10.100
6.00	10.00	12.100
6.00	11.00	14.800
6.00	12.00	12.500
6.00	13.00	13.700
6.00	14.00	12.900
6.00	15.00	16.100
6.00	16.00	21.700
6.00	17.00	32.300
6.00	18.00	14.600
6.00	19.00	9.780
6.00	20.00	12.800
6.00	21.00	11.800
6.00	22.00	12.200
6.00	23.00	11.400
6.00	24.00	9.340
7.00	0.00	4.490
7.00	1.00	3.460
7.00	2.00	4.280
7.00	3.00	5.500
7.00	4.00	5.770
7.00	5.00	9.220
7.00	6.00	7.630
7.00	7.00	6.630
7.00	8.00	11.700
7.00	9.00	10.700
7.00	10.00	15.600
7.00	11.00	15.200
7.00	12.00	20.900
7.00	13.00	24.700
7.00	14.00	16.400
7.00	15.00	15.900
7.00	16.00	23.000
7.00	17.00	31.000
7.00	18.00	33.300
7.00	19.00	18.000
7.00	20.00	13.600
7.00	21.00	12.800
7.00	22.00	20.100
