25	25
0.00	0.00	0.310
0.00	1.00	0.306
0.00	2.00	0.132
0.00	3.00	0.128
0.00	4.00	0.124
0.00	5.00	0.304
0.00	6.00	0.303
0.00	7.00	0.298
0.00	8.00	0.290
0.00	9.00	0.289
0.00	10.00	0.294
0.00	11.00	0.293
0.00	12.00	0.297
0.00	13.00	0.301
0.00	14.00	0.304
0.00	15.00	0.308
0.00	16.00	0.307
0.00	17.00	0.306
0.00	18.00	0.302
0.00	19.00	0.305
0.00	20.00	0.300
0.00	21.00	0.295
0.00	22.00	0.289
0.00	23.00	0.293
0.00	24.00	0.287
1.00	0.00	0.129
1.00	1.00	0.125
1.00	2.00	0.122
1.00	3.00	0.128
1.00	4.00	0.132
1.00	5.00	0.295
1.00	6.00	0.295
1.00	7.00	0.294
1.00	8.00	0.296
1.00	9.00	0.295
1.00	10.00	0.289
1.00	11.00	0.294
1.00	12.00	0.298
1.00	13.00	0.301
1.00	14.00	0.305
1.00	15.00	0.304
1.00	16.00	0.303
1.00	17.00	0.307
1.00	18.00	0.302
1.00	19.00	0.309
1.00	20.00	0.305
1.00	21.00	0.295
1.00	22.00	0.299
1.00	23.00	0.294
1.00	24.00	0.275
2.00	0.00	0.119
2.00	1.00	0.125
2.00	2.00	0.119
2.00	3.00	0.133
2.00	4.00	0.132
2.00	5.00	0.132
2.00	6.00	0.128
2.00	7.00	0.294
2.00	8.00	0.296
2.00	9.00	0.290
2.00	10.00	0.289
2.00	11.00	0.283
2.00	12.00	0.288
2.00	13.00	0.306
2.00	14.00	0.305
2.00	15.00	0.308
2.00	16.00	0.029
2.00	17.00	0.029
2.00	18.00	0.302
2.00	19.00	0.306
2.00	20.00	0.305
2.00	21.00	0.304
2.00	22.00	0.295
2.00	23.00	0.299
2.00	24.00	0.293
3.00	0.00	0.116
3.00	1.00	0.119
3.00	2.00	0.126
3.00	3.00	0.133
3.00	4.00	0.137
3.00	5.00	0.136
3.00	6.00	0.136
3.00	7.00	0.290
3.00	8.00	0.291
3.00	9.00	0.291
3.00	10.00	0.290
3.00	11.00	0.289
3.00	12.00	0.298
3.00	13.00	0.306
3.00	14.00	0.309
3.00	15.00	0.049
3.00	16.00	0.029
3.00	17.00	0.307
3.00	18.00	0.023
3.00	19.00	0.310
3.00	20.00	0.305
3.00	21.00	0.309
3.00	22.00	0.304
3.00	23.00	0.294
3.00	24.00	0.294
4.00	0.00	0.119
4.00	1.00	0.122
4.00	2.00	0.122
4.00	3.00	0.126
4.00	4.00	0.133
4.00	5.00	0.132
4.00	6.00	0.136
4.00	7.00	0.290
4.00	8.00	0.292
4.00	9.00	0.291
4.00	10.00	0.290
4.00	11.00	0.295
4.00	12.00	0.299
4.00	13.00	0.306
4.00	14.00	0.313
4.00	15.00	0.309
4.00	16.00	0.312
4.00	17.00	0.308
4.00	18.00	0.029
4.00	19.00	0.029
4.00	20.00	0.302
4.00	21.00	0.050
4.00	22.00	0.050
4.00	23.00	0.295
4.00	24.00	0.289
5.00	0.00	0.126
5.00	1.00	0.126
5.00	2.00	0.133
5.00	3.00	0.129
5.00	4.00	0.129
5.00	5.00	0.133
5.00	6.00	0.280
5.00	7.00	0.285
5.00	8.00	0.292
5.00	9.00	0.286
5.00	10.00	0.291
5.00	11.00	0.295
5.00	12.00	0.303
5.00	13.00	0.307
5.00	14.00	0.310
5.00	15.00	0.313
5.00	16.00	0.309
5.00	17.00	0.029
5.00	18.00	0.299
5.00	19.00	0.303
5.00	20.00	0.298
5.00	21.00	0.297
5.00	22.00	0.296
5.00	23.00	0.050
